,iso2,year,Cases,sex,age
183,AE,2002,4.0,f,45-54
184,AE,2002,10.0,f,55-64
185,AE,2002,1.0,f,65
186,AE,2002,1.0,m,0-14
187,AE,2002,2.0,m,15-24
188,AE,2002,0.0,m,25-34
189,AE,2002,6.0,m,35-44
190,AE,2002,6.0,m,45-54
191,AE,2002,10.0,m,55-64
192,AE,2002,0.0,m,65
193,AE,2003,4.0,f,0-14
194,AE,2003,9.0,f,15-24
195,AE,2003,5.0,f,25-34
196,AE,2003,3.0,f,35-44
197,AE,2003,3.0,f,45-54
198,AE,2003,2.0,f,55-64
199,AE,2003,4.0,f,65
200,AE,2003,2.0,m,0-14
201,AE,2003,10.0,m,15-24
202,AE,2003,8.0,m,25-34
203,AE,2003,12.0,m,35-44
204,AE,2003,3.0,m,45-54
205,AE,2003,2.0,m,55-64
206,AE,2003,10.0,m,65
207,AE,2004,3.0,f,0-14
208,AE,2004,6.0,f,15-24
209,AE,2004,2.0,f,25-34
210,AE,2004,7.0,f,35-44
211,AE,2004,2.0,f,45-54
212,AE,2004,2.0,f,55-64
213,AE,2004,3.0,f,65
214,AE,2004,1.0,m,0-14
215,AE,2004,7.0,m,15-24
216,AE,2004,6.0,m,25-34
217,AE,2004,7.0,m,35-44
218,AE,2004,3.0,m,45-54
219,AE,2004,1.0,m,55-64
220,AE,2004,7.0,m,65
221,AE,2006,2.0,f,0-14
222,AE,2006,6.0,f,15-24
223,AE,2006,4.0,f,25-34
224,AE,2006,5.0,f,35-44
225,AE,2006,3.0,f,45-54
226,AE,2006,4.0,f,55-64
227,AE,2006,5.0,f,65
228,AE,2006,0.0,m,0-14
229,AE,2006,5.0,m,15-24
230,AE,2006,3.0,m,25-34
231,AE,2006,7.0,m,35-44
232,AE,2006,3.0,m,45-54
233,AE,2006,1.0,m,55-64
234,AE,2006,4.0,m,65
235,AE,2007,1.0,f,0-14
236,AE,2007,8.0,f,15-24
237,AE,2007,6.0,f,25-34
238,AE,2007,3.0,f,35-44
239,AE,2007,2.0,f,45-54
240,AE,2007,0.0,f,55-64
241,AE,2007,0.0,f,65
242,AE,2007,2.0,m,0-14
243,AE,2007,5.0,m,15-24
244,AE,2007,6.0,m,25-34
245,AE,2007,3.0,m,35-44
246,AE,2007,4.0,m,45-54
247,AE,2007,3.0,m,55-64
248,AE,2007,10.0,m,65
249,AE,2008,0.0,f,0-14
250,AE,2008,10.0,f,15-24
251,AE,2008,4.0,f,25-34
252,AE,2008,1.0,f,35-44
253,AE,2008,1.0,f,45-54
254,AE,2008,3.0,f,55-64
255,AE,2008,3.0,f,65
256,AE,2008,0.0,f,unknown
257,AE,2008,0.0,m,0-14
258,AE,2008,6.0,m,15-24
259,AE,2008,1.0,m,25-34
260,AE,2008,7.0,m,35-44
261,AE,2008,5.0,m,45-54
262,AE,2008,3.0,m,55-64
263,AE,2008,6.0,m,65
264,AE,2008,0.0,m,unknown
265,AF,1997,5.0,f,0-14
266,AF,1997,38.0,f,15-24
267,AF,1997,36.0,f,25-34
268,AF,1997,14.0,f,35-44
269,AF,1997,8.0,f,45-54
270,AF,1997,0.0,f,55-64
271,AF,1997,1.0,f,65
272,AF,1997,0.0,m,0-14
273,AF,1997,10.0,m,15-24
274,AF,1997,6.0,m,25-34
275,AF,1997,3.0,m,35-44
276,AF,1997,5.0,m,45-54
277,AF,1997,2.0,m,55-64
278,AF,1997,0.0,m,65
279,AF,1998,45.0,f,0-14
280,AF,1998,350.0,f,15-24
281,AF,1998,419.0,f,25-34
282,AF,1998,194.0,f,35-44
283,AF,1998,118.0,f,45-54
284,AF,1998,61.0,f,55-64
285,AF,1998,20.0,f,65
286,AF,1998,30.0,m,0-14
287,AF,1998,129.0,m,15-24
288,AF,1998,128.0,m,25-34
289,AF,1998,90.0,m,35-44
290,AF,1998,89.0,m,45-54
291,AF,1998,64.0,m,55-64
292,AF,1998,41.0,m,65
293,AF,1999,25.0,f,0-14
294,AF,1999,139.0,f,15-24
295,AF,1999,160.0,f,25-34
296,AF,1999,110.0,f,35-44
297,AF,1999,50.0,f,45-54
298,AF,1999,25.0,f,55-64
299,AF,1999,8.0,f,65
300,AF,1999,8.0,m,0-14
301,AF,1999,55.0,m,15-24
302,AF,1999,55.0,m,25-34
303,AF,1999,47.0,m,35-44
304,AF,1999,34.0,m,45-54
305,AF,1999,21.0,m,55-64
306,AF,1999,8.0,m,65
307,AF,2000,93.0,f,0-14
308,AF,2000,414.0,f,15-24
309,AF,2000,565.0,f,25-34
310,AF,2000,339.0,f,35-44
311,AF,2000,205.0,f,45-54
312,AF,2000,99.0,f,55-64
313,AF,2000,36.0,f,65
314,AF,2000,52.0,m,0-14
315,AF,2000,228.0,m,15-24
316,AF,2000,183.0,m,25-34
317,AF,2000,149.0,m,35-44
318,AF,2000,129.0,m,45-54
319,AF,2000,94.0,m,55-64
320,AF,2000,80.0,m,65
321,AF,2001,146.0,f,0-14
322,AF,2001,799.0,f,15-24
323,AF,2001,888.0,f,25-34
324,AF,2001,586.0,f,35-44
325,AF,2001,375.0,f,45-54
326,AF,2001,179.0,f,55-64
327,AF,2001,89.0,f,65
328,AF,2001,129.0,m,0-14
329,AF,2001,379.0,m,15-24
330,AF,2001,349.0,m,25-34
331,AF,2001,274.0,m,35-44
332,AF,2001,204.0,m,45-54
333,AF,2001,139.0,m,55-64
334,AF,2001,103.0,m,65
335,AF,2002,192.0,f,0-14
336,AF,2002,1119.0,f,15-24
337,AF,2002,1251.0,f,25-34
338,AF,2002,792.0,f,35-44
339,AF,2002,526.0,f,45-54
340,AF,2002,320.0,f,55-64
341,AF,2002,218.0,f,65
342,AF,2002,90.0,m,0-14
343,AF,2002,476.0,m,15-24
344,AF,2002,481.0,m,25-34
345,AF,2002,368.0,m,35-44
346,AF,2002,246.0,m,45-54
347,AF,2002,241.0,m,55-64
348,AF,2002,189.0,m,65
349,AF,2003,245.0,f,0-14
350,AF,2003,1152.0,f,15-24
351,AF,2003,1287.0,f,25-34
352,AF,2003,814.0,f,35-44
353,AF,2003,462.0,f,45-54
354,AF,2003,305.0,f,55-64
355,AF,2003,158.0,f,65
356,AF,2003,127.0,m,0-14
357,AF,2003,511.0,m,15-24
358,AF,2003,436.0,m,25-34
359,AF,2003,284.0,m,35-44
360,AF,2003,256.0,m,45-54
361,AF,2003,288.0,m,55-64
362,AF,2003,203.0,m,65
363,AF,2004,256.0,f,0-14
364,AF,2004,1360.0,f,15-24
365,AF,2004,1561.0,f,25-34
366,AF,2004,1096.0,f,35-44
367,AF,2004,645.0,f,45-54
368,AF,2004,413.0,f,55-64
369,AF,2004,256.0,f,65
370,AF,2004,139.0,m,0-14
371,AF,2004,537.0,m,15-24
372,AF,2004,568.0,m,25-34
373,AF,2004,360.0,m,35-44
374,AF,2004,358.0,m,45-54
375,AF,2004,386.0,m,55-64
376,AF,2004,310.0,m,65
377,AF,2005,320.0,f,0-14
378,AF,2005,1651.0,f,15-24
379,AF,2005,1959.0,f,25-34
380,AF,2005,1302.0,f,35-44
381,AF,2005,869.0,f,45-54
382,AF,2005,471.0,f,55-64
383,AF,2005,246.0,f,65
384,AF,2005,151.0,m,0-14
385,AF,2005,606.0,m,15-24
386,AF,2005,560.0,m,25-34
387,AF,2005,472.0,m,35-44
388,AF,2005,453.0,m,45-54
389,AF,2005,470.0,m,55-64
390,AF,2005,419.0,m,65
391,AF,2006,442.0,f,0-14
392,AF,2006,2139.0,f,15-24
393,AF,2006,2340.0,f,25-34
394,AF,2006,1654.0,f,35-44
395,AF,2006,1006.0,f,45-54
396,AF,2006,630.0,f,55-64
397,AF,2006,309.0,f,65
398,AF,2006,193.0,m,0-14
399,AF,2006,837.0,m,15-24
400,AF,2006,791.0,m,25-34
401,AF,2006,574.0,m,35-44
402,AF,2006,572.0,m,45-54
403,AF,2006,572.0,m,55-64
404,AF,2006,410.0,m,65
405,AF,2007,475.0,f,0-14
406,AF,2007,2224.0,f,15-24
407,AF,2007,2357.0,f,25-34
408,AF,2007,1708.0,f,35-44
409,AF,2007,1143.0,f,45-54
410,AF,2007,771.0,f,55-64
411,AF,2007,353.0,f,65
412,AF,2007,186.0,m,0-14
413,AF,2007,856.0,m,15-24
414,AF,2007,840.0,m,25-34
415,AF,2007,597.0,m,35-44
416,AF,2007,566.0,m,45-54
417,AF,2007,630.0,m,55-64
418,AF,2007,507.0,m,65
419,AF,2008,428.0,f,0-14
420,AF,2008,2094.0,f,15-24
421,AF,2008,2449.0,f,25-34
422,AF,2008,1614.0,f,35-44
423,AF,2008,1149.0,f,45-54
424,AF,2008,817.0,f,55-64
425,AF,2008,364.0,f,65
426,AF,2008,187.0,m,0-14
427,AF,2008,941.0,m,15-24
428,AF,2008,773.0,m,25-34
429,AF,2008,545.0,m,35-44
430,AF,2008,570.0,m,45-54
431,AF,2008,630.0,m,55-64
432,AF,2008,575.0,m,65
433,AG,1996,0.0,f,0-14
434,AG,1996,0.0,f,15-24
435,AG,1996,0.0,f,25-34
436,AG,1996,1.0,f,35-44
437,AG,1996,0.0,f,45-54
438,AG,1996,0.0,f,55-64
439,AG,1996,0.0,f,65
440,AG,1996,0.0,m,0-14
441,AG,1996,0.0,m,15-24
442,AG,1996,0.0,m,25-34
443,AG,1996,0.0,m,35-44
444,AG,1996,1.0,m,45-54
445,AG,1996,0.0,m,55-64
446,AG,1996,0.0,m,65
447,AG,2000,1.0,f,0-14
448,AG,2000,1.0,f,15-24
449,AG,2000,1.0,f,25-34
450,AG,2000,0.0,f,35-44
451,AG,2000,0.0,f,45-54
452,AG,2000,0.0,f,55-64
453,AG,2000,0.0,f,65
454,AG,2000,0.0,m,0-14
455,AG,2000,0.0,m,15-24
456,AG,2000,0.0,m,25-34
457,AG,2000,0.0,m,35-44
458,AG,2000,0.0,m,45-54
459,AG,2000,0.0,m,55-64
460,AG,2000,1.0,m,65
461,AG,2001,0.0,f,0-14
462,AG,2001,1.0,f,15-24
463,AG,2001,0.0,f,25-34
464,AG,2001,0.0,f,35-44
465,AG,2001,0.0,f,45-54
466,AG,2001,0.0,f,55-64
467,AG,2001,0.0,f,65
468,AG,2002,2.0,f,0-14
469,AG,2002,0.0,f,15-24
470,AG,2002,1.0,f,25-34
471,AG,2002,0.0,f,35-44
472,AG,2002,0.0,f,45-54
473,AG,2002,0.0,f,55-64
474,AG,2002,0.0,f,65
475,AG,2002,0.0,m,0-14
476,AG,2002,0.0,m,15-24
477,AG,2002,1.0,m,25-34
478,AG,2002,0.0,m,35-44
479,AG,2002,0.0,m,45-54
480,AG,2002,0.0,m,55-64
481,AG,2002,0.0,m,65
482,AG,2003,0.0,f,0-14
483,AG,2003,0.0,f,15-24
484,AG,2003,0.0,f,25-34
485,AG,2003,0.0,f,35-44
486,AG,2003,0.0,f,45-54
487,AG,2003,0.0,f,55-64
488,AG,2003,0.0,f,65
489,AG,2003,0.0,m,0-14
490,AG,2003,0.0,m,15-24
491,AG,2003,1.0,m,25-34
492,AG,2003,0.0,m,35-44
493,AG,2003,0.0,m,45-54
494,AG,2003,0.0,m,55-64
495,AG,2003,0.0,m,65
496,AG,2005,2.0,f,15-24
497,AG,2005,2.0,f,25-34
498,AG,2005,1.0,m,35-44
499,AG,2005,1.0,m,45-54
500,AG,2007,0.0,f,0-14
501,AG,2007,0.0,f,15-24
502,AG,2007,0.0,f,25-34
503,AG,2007,0.0,f,35-44
504,AG,2007,0.0,f,45-54
505,AG,2007,0.0,f,55-64
506,AG,2007,0.0,f,65
507,AG,2007,0.0,m,0-14
508,AG,2007,0.0,m,15-24
509,AG,2007,0.0,m,25-34
510,AG,2007,0.0,m,35-44
511,AG,2007,1.0,m,45-54
512,AG,2007,1.0,m,55-64
513,AG,2007,0.0,m,65
514,AG,2008,1.0,m,45-54
515,AI,2003,1.0,f,35-44
516,AI,2004,0.0,f,0-14
517,AI,2004,0.0,f,15-24
518,AI,2004,0.0,f,25-34
519,AI,2004,0.0,f,35-44
520,AI,2004,0.0,f,45-54
521,AI,2004,0.0,f,55-64
522,AI,2004,0.0,f,65
523,AI,2004,0.0,m,0-14
524,AI,2004,0.0,m,15-24
525,AI,2004,0.0,m,25-34
526,AI,2004,0.0,m,35-44
527,AI,2004,0.0,m,45-54
528,AI,2004,0.0,m,55-64
529,AI,2004,0.0,m,65
530,AL,1995,0.0,f,0-14
531,AL,1995,1.0,f,15-24
532,AL,1995,0.0,f,25-34
533,AL,1995,0.0,f,35-44
534,AL,1995,13.0,f,45-54
535,AL,1995,20.0,f,55-64
536,AL,1995,16.0,f,65
537,AL,1995,0.0,m,0-14
538,AL,1995,0.0,m,15-24
539,AL,1995,0.0,m,25-34
540,AL,1995,0.0,m,35-44
541,AL,1995,19.0,m,45-54
542,AL,1995,40.0,m,55-64
543,AL,1995,30.0,m,65
544,AL,1997,1.0,f,0-14
545,AL,1997,16.0,f,15-24
546,AL,1997,19.0,f,25-34
547,AL,1997,14.0,f,35-44
548,AL,1997,9.0,f,45-54
549,AL,1997,10.0,f,55-64
550,AL,1997,8.0,f,65
551,AL,1997,0.0,m,0-14
552,AL,1997,23.0,m,15-24
553,AL,1997,43.0,m,25-34
554,AL,1997,33.0,m,35-44
555,AL,1997,25.0,m,45-54
556,AL,1997,21.0,m,55-64
557,AL,1997,19.0,m,65
558,AL,1998,2.0,f,0-14
559,AL,1998,19.0,f,15-24
560,AL,1998,11.0,f,25-34
561,AL,1998,12.0,f,35-44
562,AL,1998,13.0,f,45-54
563,AL,1998,11.0,f,55-64
564,AL,1998,13.0,f,65
565,AL,1998,1.0,m,0-14
566,AL,1998,17.0,m,15-24
567,AL,1998,21.0,m,25-34
568,AL,1998,24.0,m,35-44
569,AL,1998,18.0,m,45-54
570,AL,1998,26.0,m,55-64
571,AL,1998,24.0,m,65
572,AL,1999,0.0,f,0-14
573,AL,1999,5.0,f,15-24
574,AL,1999,13.0,f,25-34
575,AL,1999,11.0,f,35-44
576,AL,1999,5.0,f,45-54
577,AL,1999,8.0,f,55-64
578,AL,1999,16.0,f,65
579,AL,1999,0.0,m,0-14
580,AL,1999,13.0,m,15-24
581,AL,1999,23.0,m,25-34
582,AL,1999,25.0,m,35-44
583,AL,1999,19.0,m,45-54
584,AL,1999,15.0,m,55-64
585,AL,1999,15.0,m,65
586,AL,2000,3.0,f,0-14
587,AL,2000,11.0,f,15-24
588,AL,2000,10.0,f,25-34
589,AL,2000,8.0,f,35-44
590,AL,2000,8.0,f,45-54
591,AL,2000,5.0,f,55-64
592,AL,2000,11.0,f,65
593,AL,2000,2.0,m,0-14
594,AL,2000,19.0,m,15-24
595,AL,2000,21.0,m,25-34
596,AL,2000,14.0,m,35-44
597,AL,2000,24.0,m,45-54
598,AL,2000,19.0,m,55-64
599,AL,2000,16.0,m,65
600,AL,2001,1.0,f,0-14
601,AL,2001,12.0,f,15-24
602,AL,2001,10.0,f,25-34
603,AL,2001,5.0,f,35-44
604,AL,2001,7.0,f,45-54
605,AL,2001,7.0,f,55-64
606,AL,2001,9.0,f,65
607,AL,2001,3.0,m,0-14
608,AL,2001,13.0,m,15-24
609,AL,2001,18.0,m,25-34
610,AL,2001,17.0,m,35-44
611,AL,2001,19.0,m,45-54
612,AL,2001,20.0,m,55-64
613,AL,2001,30.0,m,65
614,AL,2002,2.0,f,0-14
615,AL,2002,20.0,f,15-24
616,AL,2002,19.0,f,25-34
617,AL,2002,9.0,f,35-44
618,AL,2002,6.0,f,45-54
619,AL,2002,8.0,f,55-64
620,AL,2002,17.0,f,65
621,AL,2002,0.0,m,0-14
622,AL,2002,21.0,m,15-24
623,AL,2002,27.0,m,25-34
624,AL,2002,29.0,m,35-44
625,AL,2002,19.0,m,45-54
626,AL,2002,23.0,m,55-64
627,AL,2002,25.0,m,65
628,AL,2003,2.0,f,0-14
629,AL,2003,13.0,f,15-24
630,AL,2003,8.0,f,25-34
631,AL,2003,6.0,f,35-44
632,AL,2003,14.0,f,45-54
633,AL,2003,12.0,f,55-64
634,AL,2003,20.0,f,65
635,AL,2003,0.0,m,0-14
636,AL,2003,28.0,m,15-24
637,AL,2003,19.0,m,25-34
638,AL,2003,32.0,m,35-44
639,AL,2003,16.0,m,45-54
640,AL,2003,22.0,m,55-64
641,AL,2003,19.0,m,65
642,AL,2004,2.0,f,0-14
643,AL,2004,12.0,f,15-24
644,AL,2004,12.0,f,25-34
645,AL,2004,8.0,f,35-44
646,AL,2004,11.0,f,45-54
647,AL,2004,10.0,f,55-64
648,AL,2004,22.0,f,65
649,AL,2004,5.0,m,0-14
650,AL,2004,12.0,m,15-24
651,AL,2004,19.0,m,25-34
652,AL,2004,21.0,m,35-44
653,AL,2004,24.0,m,45-54
654,AL,2004,23.0,m,55-64
655,AL,2004,20.0,m,65
656,AL,2005,0.0,f,0-14
657,AL,2005,3.0,f,15-24
658,AL,2005,9.0,f,25-34
659,AL,2005,5.0,f,35-44
660,AL,2005,5.0,f,45-54
661,AL,2005,5.0,f,55-64
662,AL,2005,18.0,f,65
663,AL,2005,0.0,f,unknown
664,AL,2005,0.0,m,0-14
665,AL,2005,26.0,m,15-24
666,AL,2005,21.0,m,25-34
667,AL,2005,16.0,m,35-44
668,AL,2005,31.0,m,45-54
669,AL,2005,20.0,m,55-64
670,AL,2005,37.0,m,65
671,AL,2005,0.0,m,unknown
672,AL,2006,2.0,f,0-14
673,AL,2006,12.0,f,15-24
674,AL,2006,8.0,f,25-34
675,AL,2006,7.0,f,35-44
676,AL,2006,7.0,f,45-54
677,AL,2006,7.0,f,55-64
678,AL,2006,13.0,f,65
679,AL,2006,0.0,f,unknown
680,AL,2006,5.0,m,0-14
681,AL,2006,24.0,m,15-24
682,AL,2006,19.0,m,25-34
683,AL,2006,22.0,m,35-44
684,AL,2006,21.0,m,45-54
685,AL,2006,19.0,m,55-64
686,AL,2006,20.0,m,65
687,AL,2006,0.0,m,unknown
688,AL,2007,2.0,f,0-14
689,AL,2007,13.0,f,15-24
690,AL,2007,9.0,f,25-34
691,AL,2007,7.0,f,35-44
692,AL,2007,7.0,f,45-54
693,AL,2007,11.0,f,55-64
694,AL,2007,9.0,f,65
695,AL,2007,0.0,f,unknown
696,AL,2007,0.0,m,0-14
697,AL,2007,19.0,m,15-24
698,AL,2007,13.0,m,25-34
699,AL,2007,16.0,m,35-44
700,AL,2007,24.0,m,45-54
701,AL,2007,16.0,m,55-64
702,AL,2007,19.0,m,65
703,AL,2007,0.0,m,unknown
704,AL,2008,1.0,f,0-14
705,AL,2008,20.0,f,15-24
706,AL,2008,10.0,f,25-34
707,AL,2008,8.0,f,35-44
708,AL,2008,5.0,f,45-54
709,AL,2008,5.0,f,55-64
710,AL,2008,10.0,f,65
711,AL,2008,1.0,m,0-14
712,AL,2008,23.0,m,15-24
713,AL,2008,26.0,m,25-34
714,AL,2008,13.0,m,35-44
715,AL,2008,19.0,m,45-54
716,AL,2008,13.0,m,55-64
717,AL,2008,16.0,m,65
718,AM,1995,1.0,f,0-14
719,AM,1995,1.0,f,15-24
720,AM,1995,7.0,f,25-34
721,AM,1995,2.0,f,35-44
722,AM,1995,1.0,f,45-54
723,AM,1995,1.0,f,55-64
724,AM,1995,1.0,m,0-14
725,AM,1995,18.0,m,15-24
726,AM,1995,16.0,m,25-34
727,AM,1995,11.0,m,35-44
728,AM,1995,10.0,m,45-54
729,AM,1995,8.0,m,55-64
730,AM,1995,1.0,m,65
731,AM,1996,0.0,f,0-14
732,AM,1996,9.0,f,15-24
733,AM,1996,11.0,f,25-34
734,AM,1996,9.0,f,35-44
735,AM,1996,8.0,f,45-54
736,AM,1996,4.0,f,55-64
737,AM,1996,0.0,f,65
738,AM,1996,2.0,m,0-14
739,AM,1996,53.0,m,15-24
740,AM,1996,100.0,m,25-34
741,AM,1996,51.0,m,35-44
742,AM,1996,43.0,m,45-54
743,AM,1996,30.0,m,55-64
744,AM,1996,7.0,m,65
745,AM,1997,3.0,f,0-14
746,AM,1997,16.0,f,15-24
747,AM,1997,22.0,f,25-34
748,AM,1997,17.0,f,35-44
749,AM,1997,7.0,f,45-54
750,AM,1997,14.0,f,55-64
751,AM,1997,1.0,f,65
752,AM,1997,2.0,m,0-14
753,AM,1997,85.0,m,15-24
754,AM,1997,59.0,m,25-34
755,AM,1997,77.0,m,35-44
756,AM,1997,51.0,m,45-54
757,AM,1997,34.0,m,55-64
758,AM,1997,12.0,m,65
759,AM,1998,1.0,f,0-14
760,AM,1998,21.0,f,15-24
761,AM,1998,20.0,f,25-34
762,AM,1998,11.0,f,35-44
763,AM,1998,10.0,f,45-54
764,AM,1998,5.0,f,55-64
765,AM,1998,6.0,f,65
766,AM,1998,2.0,m,0-14
767,AM,1998,159.0,m,15-24
768,AM,1998,90.0,m,25-34
769,AM,1998,79.0,m,35-44
770,AM,1998,39.0,m,45-54
771,AM,1998,17.0,m,55-64
772,AM,1998,15.0,m,65
773,AM,1999,6.0,f,0-14
774,AM,1999,22.0,f,15-24
775,AM,1999,15.0,f,25-34
776,AM,1999,20.0,f,35-44
777,AM,1999,6.0,f,45-54
778,AM,1999,9.0,f,55-64
779,AM,1999,7.0,f,65
780,AM,1999,4.0,m,0-14
781,AM,1999,151.0,m,15-24
782,AM,1999,88.0,m,25-34
783,AM,1999,115.0,m,35-44
784,AM,1999,76.0,m,45-54
785,AM,1999,37.0,m,55-64
